"group","Level","snaq_type1","snaq_H1","snaq_Hgt1","fg_type1_wr30","fg_H1_wr30","fg_Hgt1_wr30","fg_type1_wr37","fg_H1_wr37","fg_Hgt1_wr37"
"dup_loss_rate","Dup/Loss = 0",1.16666666666667,1,0.166666666666667,51.6666666666667,23.3333333333333,28.3333333333333,33.9166666666667,15.75,18.1666666666667
"dup_loss_rate","Dup/Loss = 3e-4",0.833333333333333,0.833333333333333,0,49.1666666666667,20.8333333333333,28.3333333333333,33.5833333333333,14,19.5833333333333
"dup_loss_rate","Dup/Loss = 4e-4",0.916666666666667,0.916666666666667,0,51.25,23,28.25,35.0833333333333,16,19.0833333333333
"ILS","high (SF=1.0)",0.611111111111111,0.611111111111111,0,54.1111111111111,31.7777777777778,22.3333333333333,32.5,25.2777777777778,7.22222222222222
"ILS","low (SF=0.5)",1.33333333333333,1.22222222222222,0.111111111111111,47.2777777777778,13,34.2777777777778,35.8888888888889,5.22222222222222,30.6666666666667
"RV","RV = Gene",1.83333333333333,1.66666666666667,0.166666666666667,31.5833333333333,27.3333333333333,4.25,6.58333333333333,6.58333333333333,0
"RV","RV = Lineage",0.75,0.75,0,99.0833333333333,20.4166666666667,78.6666666666667,92.25,35.5,56.75
"RV","RV = None",0.333333333333333,0.333333333333333,0,21.4166666666667,19.4166666666667,2,3.75,3.66666666666667,0.0833333333333333
"N_ind","n = 1",1.16666666666667,1.05555555555556,0.111111111111111,50,23,27,34.1666666666667,16.9444444444444,17.2222222222222
"N_ind","n = 2",0.777777777777778,0.777777777777778,0,51.3888888888889,21.7777777777778,29.6111111111111,34.2222222222222,13.5555555555556,20.6666666666667
