paramname_root,total_replicates,H0Accepted,H1Accepted,BT1Accepted,pct_true_tree_H0,avg_gamma1_H1,avg_gamma2_H1,avg_best_gamma1,avg_best_gamma2,pct_true_tree_H1,pct_true_tree_H1_noF,mean_H0_trees_found,median_H0_trees_found,sd_H0_trees_found,min_H0_trees_found,max_H0_trees_found,mean_H1_graphs_found,median_H1_graphs_found,sd_H1_graphs_found,min_H1_graphs_found,max_H1_graphs_found,count_H0_best_is_true_tree,count_H0_best_is_true_tree_noF,count_H1_best_displays_true_tree,count_H1_best_displays_true_tree_noF,H0Accepted_WR_3.7,H1Accepted_WR_3.7,BT1Accepted_WR_3.7
DUP0.0-LOS0.0-RVG-N_ind1-SF0.5-genelen1000,100,80,18,2,100.0,0.920551600084528,0.07944839991547176,0.9381597456400216,0.06184025435997854,96.0,100.0,1.0,1.0,0.0,1,1,12.26,7.0,18.725890897337564,1,123,100,100,87,100,94,6,0
DUP0.0-LOS0.0-RVG-N_ind1-SF1.0-genelen1000,100,58,33,9,100.0,0.9071614554523271,0.09283854454767321,0.9190595513774749,0.08094044862252557,94.0,100.0,1.0,1.0,0.0,1,1,8.31,5.0,13.398850395432882,1,122,100,100,78,100,90,10,0
DUP0.0-LOS0.0-RVG-N_ind2-SF0.5-genelen1000,100,74,23,3,100.0,0.9217184827866773,0.07828151721332215,0.9489887570421548,0.0510112429578452,97.0,100.0,1.0,1.0,0.0,1,1,11.42,5.0,23.882363214876214,1,124,100,100,78,100,96,4,0
DUP0.0-LOS0.0-RVG-N_ind2-SF1.0-genelen1000,100,59,34,7,100.0,0.9230323546362474,0.0769676453637529,0.9311292497009576,0.06887075029904255,97.0,100.0,1.02,1.0,0.2,1,3,7.16,3.5,13.71773164980864,1,124,100,100,91,100,97,3,0
DUP0.0-LOS0.0-RVL-N_ind1-SF0.5-genelen1000,100,0,3,97,100.0,0.9572415389702299,0.042758461029770205,0.9549701208060074,0.045029879193992546,99.0,100.0,1.0,1.0,0.0,1,1,1.23,1.0,0.600588936550675,1,5,100,100,98,100,0,12,88
DUP0.0-LOS0.0-RVL-N_ind1-SF1.0-genelen1000,100,1,46,53,100.0,0.9445391082274415,0.05546089177255844,0.9463528286186595,0.05364717138134036,98.0,99.0,1.0,1.0,0.0,1,1,1.79,1.0,1.394759310904048,1,7,100,100,96,99,16,71,13
DUP0.0-LOS0.0-RVL-N_ind2-SF0.5-genelen1000,100,0,0,100,100.0,0.9648101733989805,0.03518982660101963,0.9650270274613235,0.03497297253867651,99.0,99.0,1.0,1.0,0.0,1,1,1.2,1.0,0.4714045207910317,1,3,100,100,99,99,0,3,97
DUP0.0-LOS0.0-RVL-N_ind2-SF1.0-genelen1000,100,1,38,61,100.0,0.954784790370439,0.045215209629561395,0.9597478507160253,0.04025214928397489,100.0,100.0,1.0,1.0,0.0,1,1,1.43,1.0,0.8675403521602109,1,6,100,100,100,100,16,65,19
DUP0.0-LOS0.0-RVN-N_ind1-SF0.5-genelen1000,100,84,13,3,100.0,0.9166974298472418,0.0833025701527583,0.9256518326220885,0.07434816737791182,94.0,100.0,1.0,1.0,0.0,1,1,12.37,7.0,21.190647355697642,1,123,100,100,78,100,96,4,0
DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000,100,72,23,5,100.0,0.912264494750315,0.08773550524968518,0.924608909724319,0.07539109027568042,97.0,100.0,1.0,1.0,0.0,1,1,9.54,6.0,17.46246768866811,1,124,100,100,80,99,92,7,1
DUP0.0-LOS0.0-RVN-N_ind2-SF0.5-genelen1000,100,76,24,0,100.0,0.9153587415592511,0.0846412584407487,0.9019507159423817,0.09804928405761794,96.0,100.0,1.0,1.0,0.0,1,1,14.5,9.0,24.307998434235344,1,124,100,100,72,100,99,1,0
DUP0.0-LOS0.0-RVN-N_ind2-SF1.0-genelen1000,100,75,25,0,100.0,0.9170421681292925,0.08295783187070775,0.9373953834267659,0.06260461657323417,97.0,100.0,1.0,1.0,0.0,1,1,8.47,6.0,8.861966172607772,1,55,100,100,85,100,97,3,0
DUP0.0003-LOS0.0003-RVG-N_ind1-SF0.5-genelen1000,100,77,18,5,100.0,0.9262526433925389,0.07374735660746133,0.9477520859608384,0.05224791403916138,98.0,100.0,1.0,1.0,0.0,1,1,8.01,5.0,8.758828158325217,1,50,100,100,86,100,97,3,0
DUP0.0003-LOS0.0003-RVG-N_ind1-SF1.0-genelen1000,100,67,28,5,100.0,0.9141870122209405,0.08581298777905946,0.9016573066637524,0.09834269333624757,98.0,100.0,1.0,1.0,0.0,1,1,7.53,5.0,8.362319285843123,1,51,100,100,78,100,94,6,0
DUP0.0003-LOS0.0003-RVG-N_ind2-SF0.5-genelen1000,100,76,22,2,100.0,0.93939224702753,0.06060775297247,0.9437522999950474,0.0562477000049521,99.0,100.0,1.0,1.0,0.0,1,1,8.54,6.0,13.330620936230035,1,123,100,100,86,99,97,3,0
DUP0.0003-LOS0.0003-RVG-N_ind2-SF1.0-genelen1000,100,63,31,6,100.0,0.9214010536099181,0.07859894639008154,0.9262744422618876,0.07372555773811224,94.0,100.0,1.0,1.0,0.0,1,1,6.08,4.0,5.800870711376096,1,23,100,100,80,100,92,8,0
DUP0.0003-LOS0.0003-RVL-N_ind1-SF0.5-genelen1000,100,0,1,99,100.0,0.9568690757555725,0.04313092424442711,0.9592222225299065,0.04077777747009342,99.0,100.0,1.0,1.0,0.0,1,1,1.28,1.0,0.6525784135708028,1,5,100,100,99,100,0,12,88
DUP0.0003-LOS0.0003-RVL-N_ind1-SF1.0-genelen1000,100,1,52,47,100.0,0.9483557995303112,0.0516442004696885,0.9480471105837881,0.051952889416211734,98.0,100.0,1.0,1.0,0.0,1,1,1.99,1.0,1.6666363633608763,1,9,100,100,94,99,22,61,17
DUP0.0003-LOS0.0003-RVL-N_ind2-SF0.5-genelen1000,100,0,0,100,100.0,0.9689727495487631,0.031027250451237266,0.9694994318235005,0.030500568176499834,100.0,100.0,1.0,1.0,0.0,1,1,1.24,1.0,0.5880974288828219,1,4,100,100,100,100,0,2,98
DUP0.0003-LOS0.0003-RVL-N_ind2-SF1.0-genelen1000,100,0,30,70,100.0,0.9535621741560891,0.046437825843910555,0.9484835412446939,0.051516458755305944,100.0,100.0,1.0,1.0,0.0,1,1,1.61,1.0,1.1182146665126693,1,7,100,100,98,100,9,59,32
DUP0.0003-LOS0.0003-RVN-N_ind1-SF0.5-genelen1000,100,88,12,0,100.0,0.9173386575212809,0.08266134247871917,0.9504256708740959,0.04957432912590423,98.0,100.0,1.0,1.0,0.0,1,1,10.8,7.5,14.076271315281407,1,119,100,100,85,100,98,2,0
DUP0.0003-LOS0.0003-RVN-N_ind1-SF1.0-genelen1000,100,77,20,3,100.0,0.9058718472283712,0.09412815277162888,0.913215146466491,0.08678485353350951,97.0,100.0,1.0,1.0,0.0,1,1,7.5,4.5,8.699820037613922,1,61,100,100,80,100,95,5,0
DUP0.0003-LOS0.0003-RVN-N_ind2-SF0.5-genelen1000,100,91,9,0,100.0,0.915781327618169,0.08421867238183119,0.9203453320824697,0.07965466791753047,95.0,100.0,1.0,1.0,0.0,1,1,15.37,9.0,24.204371839847777,1,124,100,100,78,100,99,1,0
DUP0.0003-LOS0.0003-RVN-N_ind2-SF1.0-genelen1000,100,70,27,3,100.0,0.9030826266621149,0.09691737333788543,0.9216937400405902,0.07830625995941037,93.0,100.0,1.0,1.0,0.0,1,1,8.98,5.0,17.37057770187767,1,124,100,100,79,100,94,6,0
DUP0.0004-LOS0.0004-RVG-N_ind1-SF0.5-genelen1000,100,69,30,1,100.0,0.9205397038475713,0.07946029615242885,0.9360071473497706,0.0639928526502293,97.0,100.0,1.0,1.0,0.0,1,1,9.11,6.5,13.745812952945842,1,124,100,100,86,100,93,7,0
DUP0.0004-LOS0.0004-RVG-N_ind1-SF1.0-genelen1000,100,62,34,4,100.0,0.9169562418094216,0.0830437581905788,0.9285144171287447,0.07148558287125534,98.0,100.0,1.0,1.0,0.0,1,1,6.89,4.5,7.342824436623192,1,45,100,100,90,100,89,11,0
DUP0.0004-LOS0.0004-RVG-N_ind2-SF0.5-genelen1000,100,75,22,3,100.0,0.9293374153871823,0.07066258461281734,0.9320156764901338,0.0679843235098663,97.0,100.0,1.0,1.0,0.0,1,1,7.54,5.0,13.22182157104556,1,123,100,100,81,100,92,8,0
DUP0.0004-LOS0.0004-RVG-N_ind2-SF1.0-genelen1000,100,61,35,4,100.0,0.915874574875306,0.08412542512469413,0.922653907090319,0.07734609290968099,96.0,100.0,1.0,1.0,0.0,1,1,6.9,4.5,7.465070175642874,1,40,100,100,83,100,90,10,0
DUP0.0004-LOS0.0004-RVL-N_ind1-SF0.5-genelen1000,100,0,2,98,100.0,0.9585102362836599,0.04148976371633993,0.9606842882769604,0.03931571172303947,98.0,99.0,1.0,1.0,0.0,1,1,1.22,1.0,0.8112840551753857,1,8,100,100,97,99,0,14,86
DUP0.0004-LOS0.0004-RVL-N_ind1-SF1.0-genelen1000,100,5,44,51,100.0,0.9454530956749128,0.05454690432508736,0.944453779370952,0.05554622062904813,97.0,100.0,1.0,1.0,0.0,1,1,1.9,1.0,1.7894189565387424,1,13,100,100,96,100,16,67,17
DUP0.0004-LOS0.0004-RVL-N_ind2-SF0.5-genelen1000,100,0,0,100,100.0,0.9611900189038158,0.03880998109618428,0.9607967988732407,0.03920320112675943,100.0,100.0,1.0,1.0,0.0,1,1,1.12,1.0,0.35618630921006345,1,3,100,100,100,100,0,5,95
DUP0.0004-LOS0.0004-RVL-N_ind2-SF1.0-genelen1000,100,3,29,68,100.0,0.9509984268214035,0.04900157317859646,0.9546297837219139,0.045370216278086135,99.0,100.0,1.0,1.0,0.0,1,1,1.87,1.0,1.63085774048412,1,9,100,100,99,100,14,55,31
DUP0.0004-LOS0.0004-RVN-N_ind1-SF0.5-genelen1000,100,82,17,1,100.0,0.904014187587601,0.09598581241239904,0.9348681777381951,0.06513182226180533,96.0,100.0,1.0,1.0,0.0,1,1,13.13,8.0,21.330802406687173,1,123,100,100,85,99,97,3,0
DUP0.0004-LOS0.0004-RVN-N_ind1-SF1.0-genelen1000,100,77,20,3,100.0,0.9155773678490469,0.08442263215095293,0.9236854227975405,0.07631457720245942,95.0,99.0,1.0,1.0,0.0,1,1,7.51,5.5,7.506892455832463,1,42,100,100,83,99,96,4,0
DUP0.0004-LOS0.0004-RVN-N_ind2-SF0.5-genelen1000,100,77,20,3,100.0,0.9132657009924044,0.08673429900759555,0.925737787730025,0.074262212269975,99.0,100.0,1.0,1.0,0.0,1,1,13.11,9.0,18.340712013761003,1,123,100,100,82,99,96,4,0
DUP0.0004-LOS0.0004-RVN-N_ind2-SF1.0-genelen1000,100,74,23,3,100.0,0.9146385316648034,0.08536146833519673,0.9163429194142668,0.08365708058573315,96.0,100.0,1.0,1.0,0.0,1,1,7.84,5.0,12.70466390143733,1,120,100,100,80,100,96,4,0
